Date,FB,MEDIA,DIF CUADR,Ren Abs,Ren S,Ren Continua,,AAPL,MEDIA,DIF CUADR,Ren Abs,Ren S,Ren Continua
9/9/2013,44.310001,157.0773748,12716.48059,,R = G / I,,,14.658429,49.9323659,1244.250625,,,
9/16/2013,47.490002,157.0773748,12009.39228,3.180001,7.18%,6.93%,,14.737571,49.9323659,1238.673588,0.079142,0.54%,0.54%
9/23/2013,51.240002,157.0773748,11201.54948,3.750000,7.90%,7.60%,,15.221246,49.9323659,1204.861845,0.483675,3.28%,3.23%
9/30/2013,51.040001,157.0773748,11243.92464,-0.200001,-0.39%,-0.39%,,15.230074,49.9323659,1204.249063,0.008828,0.06%,0.06%
10/7/2013,49.110001,157.0773748,11656.95381,-1.930000,-3.78%,-3.85%,,15.538437,49.9323659,1182.942345,0.308363,2.02%,2.00%
10/14/2013,54.220001,157.0773748,10579.63935,5.110000,10.41%,9.90%,,16.045443,49.9323659,1148.323544,0.507006,3.26%,3.21%
10/21/2013,51.950001,157.0773748,11051.76472,-2.270000,-4.19%,-4.28%,,16.583664,49.9323659,1112.135919,0.538221,3.35%,3.30%
10/28/2013,49.75,157.0773748,11519.16538,-2.200001,-4.23%,-4.33%,,16.396696,49.9323659,1124.641156,-0.186968,-1.13%,-1.13%
11/4/2013,47.529999,157.0773748,12000.62755,-2.220001,-4.46%,-4.56%,,16.413404,49.9323659,1123.520807,0.016708,0.10%,0.10%
11/11/2013,49.009998,157.0773748,11678.55793,1.479999,3.11%,3.07%,,16.649731,49.9323659,1107.733786,0.236327,1.44%,1.43%
11/18/2013,46.23,157.0773748,12287.1405,-2.779998,-5.67%,-5.84%,,16.485126,49.9323659,1118.717857,-0.164605,-0.99%,-0.99%
11/25/2013,47.009998,157.0773748,12114.82744,0.779998,1.69%,1.67%,,17.63542,49.9323659,1043.092715,1.150294,6.98%,6.75%
12/2/2013,47.939999,157.0773748,11910.9668,0.930001,1.98%,1.96%,,17.760683,49.9323659,1035.017181,0.125263,0.71%,0.71%
12/9/2013,53.32,157.0773748,10765.59283,5.380001,11.22%,10.64%,,17.583403,49.9323659,1046.455401,-0.177280,-1.00%,-1.00%
12/16/2013,55.119999,157.0773748,10395.30648,1.799999,3.38%,3.32%,,17.411819,49.9323659,1057.585971,-0.171584,-0.98%,-0.98%
12/23/2013,55.439999,157.0773748,10330.15616,0.320000,0.58%,0.58%,,17.762909,49.9323659,1034.873958,0.351090,2.02%,2.00%
12/30/2013,54.560001,157.0773748,10509.81193,-0.879998,-1.59%,-1.60%,,17.156841,49.9323659,1074.235033,-0.606068,-3.41%,-3.47%
1/6/2014,57.939999,157.0773748,9828.219281,3.379998,6.20%,6.01%,,16.901859,49.9323659,1091.014386,-0.254982,-1.49%,-1.50%
1/13/2014,56.299999,157.0773748,10156.07947,-1.640000,-2.83%,-2.87%,,17.147015,49.9323659,1074.879234,0.245156,1.45%,1.44%
1/20/2014,54.450001,157.0773748,10532.37785,-1.849998,-3.29%,-3.34%,,17.318272,49.9323659,1063.679121,0.171257,1.00%,0.99%
1/27/2014,62.57,157.0773748,8931.643892,8.119999,14.91%,13.90%,,15.876214,49.9323659,1159.821483,-1.442058,-8.33%,-8.69%
2/3/2014,64.32,157.0773748,8603.930581,1.750000,2.80%,2.76%,,16.481323,49.9323659,1118.972271,0.605109,3.81%,3.74%
2/10/2014,67.089996,157.0773748,8097.728344,2.769996,4.31%,4.22%,,17.355572,49.9323659,1061.247501,0.874249,5.30%,5.17%
2/17/2014,68.589996,157.0773748,7830.016208,1.500000,2.24%,2.21%,,16.757687,49.9323659,1100.55932,-0.597885,-3.44%,-3.51%
2/24/2014,68.459999,157.0773748,7853.039294,-0.129997,-0.19%,-0.19%,,16.789272,49.9323659,1098.464674,0.031585,0.19%,0.19%
3/3/2014,69.800003,157.0773748,7617.339629,1.340004,1.96%,1.94%,,16.923269,49.9323659,1089.600478,0.133997,0.80%,0.79%
